"LR No.","Master waybill","Warehouse Name","Description ","Order Id","Service Code","Vendor Code","Total Weight (in KG)","Actual Weight","Box Count ",Length,Breadth,Height,"Payment Mode","COD AMOUNT",Insurance,"e-Way bill","Invoice Amount","Invoice No","Shipper GSTIN","Consignee GSTIN",Company,"Consignee Name",Contact,Address,"Destination Pincode","Destination City","Destination State","Origin Pincode",Date,"Customer Code","Import Status","Error Message"
987155823,53658410455,32970588,BOX,26451136,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,10,1,1,10,10,10,PREPAID,,,,1709.9,,,,"OTIS ELEVATOR COMPANY (INDIA) LIMITED-27","TVS SUPPLY CHAIN SOLUTIONS LTD",,,500008,HYDERABAD,Telangana,110020,25/5/2026,32987561,Success,"Inserted Successfully"
990048790,53658409932,32970074,BOX,0,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,20,10,2,10,10,10,PREPAID,,,,33743,,,,"Universal World Wide Express","M/S.KARWA AGENCIES",,,431203,JALNA,Maharashtra,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
987155825,53658409206,32970588,BOX,"26592883 S7",PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,37,36.28,1,10,10,10,PREPAID,,,,234512,,,,"OTIS ELEVATOR COMPANY (INDIA) LIMITED-27","OTIS ELEVATOR COMPANY INDIA LTD",,,122004,GURGAON,Haryana,110020,23/5/2026,32987561,Failed,"Pincode not serviceable"
990048789,58165973633,32970074,BOX,319,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,9,1,10,10,10,PREPAID,,,,78588,,,,"Universal World Wide Express","BRITE MACHINERY",,,711110,HOWRAH,"West Bengal",400078,25/5/2026,32987497,Success,"Inserted Successfully"
987155827,53658408414,32970588,BOX,26597024,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,10,1,1,10,10,10,PREPAID,,,,14830.75,,,,"OTIS ELEVATOR COMPANY (INDIA) LIMITED-27","C/O TVS SUPPLY CHAIN SOLUTIONS LTD",,,122004,GURGAON,Haryana,110020,25/5/2026,32987561,Failed,"Pincode not serviceable"
990048788,58165973250,32970074,BOX,318,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,9,1,10,10,10,PREPAID,,,,113782,,,,"Universal World Wide Express","GOEL ENTERPRISES",,,201001,GHAZIABAD,"Uttar Pradesh",400078,25/5/2026,32987497,Success,"Inserted Successfully"
990048787,58165973202,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,7,1,10,10,10,PREPAID,,,,3000,,,,"Universal World Wide Express","MANYA MANKAD",,,560048,BANGALORE,Karnataka,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
990048786,21040147704,DELHI,BOX,M12825052601,PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,1,0.6,1,10,10,10,PREPAID,,,,10000,,,,"SUPERFAST WORLDWIDE EXPRESS LLP","MR MANOJ KUMAR SIRCAR",,,700023,KOLKATA,"West Bengal",110066,25/5/2026,32987022,Success,"Inserted Successfully"
990048785,58165973051,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,7,1,10,10,10,PREPAID,,,,3000,,,,"Universal World Wide Express","MRS.RAMA NARASIMHAN",,,600018,CHENNAI,"Tamil Nadu",400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
990048784,58165972944,32970074,BOX,316,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,4,1,10,10,10,PREPAID,,,,30798,,,,"Universal World Wide Express","KONGOVI PVT LTD",,,562123,BANGALORE,Karnataka,400078,25/5/2026,32987497,Success,"Inserted Successfully"
990048783,21040145663,32970153,BOX,1.02E+11,PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,0.5,0.5,1,10,10,10,PREPAID,,,,500,,,,"SSBC Global Logistics Private Limited","PNG JEWELLERS NAGPUR (ITWARI)",,,440032,NAGPUR,Maharashtra,411001,25/5/2026,32987397,Success,"Inserted Successfully"
990048782,58165972760,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,7,1,10,10,10,PREPAID,,,,3000,,,,"Universal World Wide Express","JVS PRASAD",,,500029,HYDERABAD,Telangana,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
